transaction_id;user_id;transaction_date;transaction_hour;voucher_price;payment_method;age_group;city;seabank_user;shopeepay_balance;registered_payment_methods;avg_monthly_transaction;status;cancel_stage
110;2416;15/02/2025;15;29995;seabank;45+;Medan;TRUE;62814;2;1688424;completed;
111;2792;25/01/2025;20;29995;seabank;45+;Surabaya;TRUE;171250;2;381627;completed;
112;618;08/03/2025;10;29995;seabank;18-24;Bandung;FALSE;124766;1;1418051;completed;
113;1995;04/02/2025;20;49995;shopeepay;35-44;Jakarta;TRUE;63797;3;143375;completed;
114;1122;14/03/2025;22;29995;debit_card;45+;Medan;TRUE;8831;1;248831;completed;
115;1292;19/03/2025;23;29995;shopeepay;18-24;Jakarta;TRUE;60531;1;649435;completed;
116;1084;22/01/2025;23;49995;seabank;35-44;Surabaya;FALSE;132290;1;1315512;completed;
117;2548;09/01/2025;11;29995;shopeepay;25-34;Jakarta;FALSE;152104;3;942566;completed;
118;2459;24/01/2025;2;29995;shopeepay;25-34;Makassar;FALSE;1766;1;1514011;completed;
119;1164;23/01/2025;5;49995;debit_card;35-44;Medan;FALSE;78590;2;73731;completed;
120;1933;02/03/2025;15;29995;seabank;25-34;Makassar;FALSE;6408;2;1189987;cancelled;payment
121;1352;06/02/2025;11;49995;debit_card;25-34;Surabaya;TRUE;134476;2;1615232;cancelled;detail
122;464;14/02/2025;20;29995;shopeepay;25-34;Surabaya;TRUE;102840;3;896454;completed;
123;2750;15/01/2025;19;29995;debit_card;25-34;Surabaya;TRUE;59817;3;399829;completed;
124;1661;26/02/2025;5;29995;seabank;25-34;Medan;TRUE;72197;2;294361;completed;
125;1949;14/01/2025;19;29995;seabank;25-34;Bandung;FALSE;25168;1;606497;cancelled;payment
126;2211;21/02/2025;13;49995;shopeepay;35-44;Makassar;TRUE;184215;3;1532107;completed;
127;60;25/03/2025;23;29995;shopeepay;25-34;Makassar;FALSE;134607;3;1386910;completed;
128;333;05/02/2025;8;29995;debit_card;18-24;Jakarta;FALSE;115042;1;1876161;completed;
129;76;27/01/2025;16;29995;shopeepay;35-44;Bandung;TRUE;1049;3;630609;completed;
130;1779;17/01/2025;11;49995;debit_card;18-24;Jakarta;FALSE;126228;3;975607;completed;
131;2365;31/03/2025;0;49995;shopeepay;25-34;Medan;FALSE;190292;2;127347;completed;
132;190;10/02/2025;19;29995;debit_card;18-24;Bandung;TRUE;55773;2;524833;completed;
133;1913;04/01/2025;21;29995;debit_card;45+;Medan;FALSE;22650;3;1177710;cancelled;detail
134;296;03/01/2025;7;29995;shopeepay;25-34;Jakarta;FALSE;78563;2;1523881;completed;
135;2549;19/01/2025;11;29995;shopeepay;25-34;Jakarta;FALSE;54091;1;1920773;completed;
136;177;10/02/2025;15;29995;debit_card;25-34;Surabaya;FALSE;34607;1;1156005;completed;
137;800;09/02/2025;0;49995;shopeepay;45+;Surabaya;FALSE;21246;3;1419951;cancelled;payment
138;806;27/02/2025;2;29995;seabank;35-44;Makassar;FALSE;103393;2;1270673;completed;
139;2908;08/02/2025;11;29995;shopeepay;18-24;Bandung;FALSE;12818;3;1150896;cancelled;payment
140;1743;07/01/2025;3;29995;debit_card;35-44;Jakarta;FALSE;134526;2;1465954;completed;
141;215;05/02/2025;9;29995;debit_card;35-44;Jakarta;FALSE;50460;3;233328;cancelled;payment
142;1880;24/03/2025;1;29995;shopeepay;25-34;Bandung;TRUE;133014;3;707729;cancelled;payment
143;2701;17/03/2025;8;29995;shopeepay;25-34;Jakarta;FALSE;73071;3;629649;completed;
144;597;20/01/2025;2;29995;debit_card;25-34;Jakarta;TRUE;26467;3;1815040;completed;
145;1718;17/03/2025;19;29995;debit_card;25-34;Makassar;FALSE;81696;1;846116;completed;
146;1356;29/01/2025;19;29995;shopeepay;35-44;Surabaya;FALSE;46009;3;1946905;completed;
147;128;25/03/2025;0;49995;seabank;35-44;Jakarta;TRUE;62821;1;1197917;completed;
148;1293;09/03/2025;4;49995;debit_card;25-34;Surabaya;TRUE;110002;1;1698928;completed;
149;2599;07/03/2025;4;29995;seabank;18-24;Surabaya;FALSE;75093;2;1086055;completed;
150;1559;16/02/2025;1;29995;seabank;35-44;Makassar;FALSE;40491;3;905860;completed;
151;1778;23/01/2025;14;29995;shopeepay;25-34;Jakarta;FALSE;88771;3;1554895;completed;
152;619;06/01/2025;0;29995;seabank;35-44;Bandung;FALSE;8888;3;666839;completed;
153;2396;18/01/2025;20;49995;debit_card;25-34;Medan;FALSE;109366;2;1021388;completed;
154;142;22/02/2025;4;49995;seabank;18-24;Makassar;FALSE;97077;2;1330136;completed;
155;2840;22/01/2025;6;29995;debit_card;25-34;Surabaya;TRUE;148295;2;192228;completed;
156;245;09/03/2025;10;29995;debit_card;18-24;Surabaya;FALSE;131332;3;472994;completed;
157;2751;16/03/2025;9;29995;seabank;25-34;Jakarta;FALSE;2093;2;1965883;cancelled;payment
158;1314;04/02/2025;1;29995;seabank;35-44;Bandung;FALSE;80974;1;974399;completed;
159;1715;16/03/2025;13;29995;debit_card;18-24;Medan;TRUE;79522;1;1964052;completed;
160;1136;09/01/2025;23;29995;shopeepay;18-24;Jakarta;FALSE;98633;3;964060;completed;
161;2262;31/01/2025;20;49995;debit_card;25-34;Bandung;TRUE;180967;1;546221;cancelled;browse
162;1910;12/02/2025;4;29995;seabank;18-24;Medan;FALSE;94791;1;1147584;completed;
163;2248;16/03/2025;15;29995;seabank;35-44;Bandung;FALSE;144296;1;919251;cancelled;payment
164;2453;17/01/2025;1;29995;seabank;25-34;Jakarta;FALSE;42448;3;1346181;completed;
165;421;20/02/2025;9;29995;debit_card;35-44;Bandung;FALSE;188036;2;1811071;completed;
166;7;07/03/2025;17;29995;debit_card;18-24;Makassar;FALSE;154318;3;717482;cancelled;payment
167;1549;24/01/2025;4;49995;debit_card;18-24;Surabaya;FALSE;110449;1;1121025;completed;
168;2640;15/01/2025;16;49995;shopeepay;35-44;Jakarta;FALSE;53233;3;782726;cancelled;detail
169;2334;28/01/2025;10;49995;seabank;25-34;Jakarta;FALSE;52798;3;256924;completed;
170;671;03/01/2025;4;29995;debit_card;18-24;Jakarta;TRUE;108500;1;1571275;completed;
171;2437;29/01/2025;20;29995;shopeepay;25-34;Jakarta;FALSE;101165;2;963399;completed;
172;416;21/02/2025;23;49995;shopeepay;25-34;Surabaya;FALSE;55415;2;1171761;completed;
173;2832;23/02/2025;5;49995;debit_card;25-34;Medan;FALSE;164781;3;229431;completed;
174;1007;27/02/2025;21;29995;shopeepay;25-34;Medan;FALSE;49431;1;464599;completed;
175;1737;14/02/2025;15;29995;debit_card;25-34;Medan;FALSE;76289;3;785399;completed;
176;428;18/03/2025;4;29995;debit_card;35-44;Surabaya;FALSE;35198;2;1801908;completed;
177;334;19/02/2025;20;49995;seabank;18-24;Jakarta;FALSE;127922;1;717329;completed;
178;2320;22/01/2025;23;49995;shopeepay;25-34;Surabaya;FALSE;71062;3;148991;completed;
179;2367;21/02/2025;15;29995;shopeepay;18-24;Surabaya;FALSE;21797;1;1695181;completed;
180;527;22/02/2025;16;49995;shopeepay;25-34;Makassar;TRUE;161508;1;1044048;cancelled;payment
181;2808;31/01/2025;8;49995;shopeepay;18-24;Makassar;FALSE;84084;1;1839032;completed;
182;1196;12/03/2025;21;29995;debit_card;35-44;Jakarta;FALSE;28176;1;122043;cancelled;payment
183;1754;17/02/2025;1;29995;shopeepay;18-24;Medan;FALSE;74935;1;1867820;completed;
184;1673;31/03/2025;18;49995;shopeepay;35-44;Surabaya;FALSE;171232;2;822443;completed;
185;2369;31/01/2025;16;29995;debit_card;25-34;Bandung;FALSE;97169;1;1578618;completed;
186;2787;04/01/2025;4;49995;debit_card;45+;Jakarta;FALSE;93321;2;909497;completed;
187;1556;04/02/2025;1;29995;shopeepay;18-24;Surabaya;FALSE;21832;1;1868382;cancelled;payment
188;2029;08/03/2025;10;29995;debit_card;18-24;Surabaya;FALSE;145291;2;331253;cancelled;browse
189;1655;05/03/2025;0;29995;shopeepay;18-24;Medan;FALSE;49966;1;667064;completed;
190;454;24/03/2025;8;29995;shopeepay;45+;Medan;TRUE;89342;2;1716414;completed;
191;746;09/01/2025;5;49995;shopeepay;35-44;Jakarta;FALSE;83008;1;1271048;cancelled;payment
192;1904;15/02/2025;10;29995;debit_card;18-24;Jakarta;FALSE;57324;1;705949;completed;
193;929;24/03/2025;7;29995;debit_card;25-34;Surabaya;FALSE;63865;1;1141706;completed;
194;848;25/02/2025;12;29995;seabank;45+;Surabaya;FALSE;1214;2;752640;cancelled;payment
195;868;25/02/2025;11;29995;shopeepay;18-24;Surabaya;TRUE;37177;1;1889866;completed;
196;774;24/03/2025;8;49995;debit_card;25-34;Surabaya;TRUE;167364;3;1054944;completed;
197;2131;26/01/2025;14;49995;seabank;18-24;Surabaya;FALSE;68607;3;1936006;completed;
198;543;01/03/2025;4;49995;seabank;18-24;Jakarta;FALSE;94819;2;1386408;cancelled;browse
199;322;18/03/2025;14;29995;debit_card;35-44;Jakarta;FALSE;90481;1;444039;cancelled;payment
200;786;27/03/2025;1;29995;seabank;45+;Jakarta;FALSE;88815;2;1494298;cancelled;payment
201;540;13/03/2025;14;49995;shopeepay;18-24;Jakarta;FALSE;37081;2;219299;completed;
202;2300;29/03/2025;19;49995;shopeepay;25-34;Jakarta;FALSE;143859;3;1669177;completed;
203;2884;31/03/2025;2;29995;shopeepay;18-24;Makassar;TRUE;5630;3;599634;completed;
204;1789;17/02/2025;9;29995;shopeepay;18-24;Medan;TRUE;118671;2;172217;completed;
205;449;27/02/2025;6;29995;debit_card;25-34;Surabaya;TRUE;4131;1;1869449;completed;
206;490;04/03/2025;9;49995;shopeepay;35-44;Medan;FALSE;47498;2;691260;completed;
207;1906;27/02/2025;9;29995;debit_card;18-24;Jakarta;FALSE;146539;1;775959;completed;
208;464;03/01/2025;7;29995;shopeepay;25-34;Surabaya;TRUE;102840;3;896454;completed;
209;314;07/01/2025;12;29995;debit_card;45+;Jakarta;TRUE;76579;2;619677;cancelled;payment
210;1956;21/02/2025;20;29995;shopeepay;45+;Surabaya;FALSE;178530;3;743187;completed;
211;385;03/03/2025;1;29995;debit_card;35-44;Jakarta;FALSE;129681;1;977510;completed;
212;295;02/01/2025;11;29995;shopeepay;18-24;Makassar;FALSE;49923;2;1027042;completed;
213;1239;02/02/2025;8;29995;shopeepay;45+;Surabaya;FALSE;71028;3;1256218;completed;
214;762;12/01/2025;0;29995;debit_card;25-34;Surabaya;TRUE;185639;2;1701962;completed;
215;2817;17/02/2025;20;29995;debit_card;25-34;Jakarta;FALSE;159865;3;263699;completed;
216;1099;17/03/2025;11;29995;shopeepay;35-44;Jakarta;TRUE;147950;1;76597;completed;
217;2392;22/02/2025;11;29995;debit_card;18-24;Surabaya;TRUE;51222;3;79251;completed;
218;1738;15/03/2025;2;49995;seabank;18-24;Jakarta;TRUE;149967;2;1756978;completed;
219;2190;10/02/2025;23;49995;debit_card;25-34;Jakarta;FALSE;73062;3;106795;completed;
220;2766;23/03/2025;7;29995;seabank;45+;Surabaya;FALSE;72597;2;714051;completed;
221;1223;27/02/2025;12;29995;debit_card;25-34;Bandung;TRUE;37190;1;1773131;cancelled;payment
222;1943;09/03/2025;16;29995;shopeepay;35-44;Bandung;FALSE;48481;3;535774;completed;
223;2454;23/01/2025;19;49995;shopeepay;25-34;Medan;FALSE;161652;2;745788;completed;
224;228;26/03/2025;9;29995;debit_card;25-34;Medan;FALSE;198077;2;198608;completed;
225;411;05/02/2025;14;29995;debit_card;25-34;Medan;TRUE;142350;3;377535;completed;
226;3000;26/03/2025;23;29995;shopeepay;35-44;Jakarta;FALSE;54913;3;1802712;completed;
227;2946;28/03/2025;8;29995;shopeepay;18-24;Jakarta;FALSE;62651;3;1430882;completed;
228;691;21/01/2025;17;29995;debit_card;25-34;Bandung;FALSE;123183;1;92738;cancelled;payment
229;878;13/03/2025;7;29995;seabank;25-34;Bandung;TRUE;22106;1;1987215;cancelled;payment
230;787;24/02/2025;13;29995;seabank;25-34;Surabaya;FALSE;28525;3;148120;cancelled;payment
231;2110;25/02/2025;10;49995;debit_card;45+;Makassar;FALSE;20128;3;1085790;cancelled;payment
232;1351;13/01/2025;12;29995;shopeepay;35-44;Bandung;TRUE;81638;1;957233;completed;
233;1740;22/01/2025;15;29995;shopeepay;25-34;Surabaya;TRUE;131029;2;1597069;completed;
234;1987;07/01/2025;13;29995;debit_card;35-44;Surabaya;FALSE;161696;2;1505362;cancelled;payment
235;879;24/01/2025;8;29995;seabank;18-24;Surabaya;FALSE;17131;2;1295633;cancelled;payment
236;1608;02/03/2025;8;49995;shopeepay;35-44;Jakarta;FALSE;16108;1;1758928;cancelled;browse
237;1614;05/01/2025;18;29995;debit_card;25-34;Jakarta;FALSE;185922;2;1735227;completed;
238;2404;19/02/2025;4;29995;debit_card;25-34;Jakarta;FALSE;152026;2;1360565;completed;
239;71;03/03/2025;14;29995;shopeepay;35-44;Surabaya;FALSE;89909;3;522671;completed;
240;2311;24/02/2025;10;29995;shopeepay;25-34;Jakarta;FALSE;167061;2;1915361;completed;
241;306;26/01/2025;18;29995;debit_card;45+;Medan;FALSE;72115;3;1710465;completed;
242;2606;10/01/2025;5;29995;shopeepay;25-34;Surabaya;FALSE;181676;1;248300;completed;
243;762;11/01/2025;9;29995;seabank;25-34;Surabaya;TRUE;185639;2;1701962;completed;
244;588;09/02/2025;15;49995;shopeepay;18-24;Bandung;TRUE;130251;1;1626103;completed;
245;2122;11/01/2025;4;49995;debit_card;25-34;Makassar;FALSE;69506;1;300483;completed;
246;2190;04/01/2025;17;29995;shopeepay;25-34;Jakarta;FALSE;73062;3;106795;completed;
247;1609;02/01/2025;18;49995;debit_card;18-24;Makassar;TRUE;2853;2;1151652;cancelled;payment
248;102;18/03/2025;22;29995;seabank;25-34;Surabaya;FALSE;179559;2;1936338;completed;
249;1630;08/02/2025;9;29995;seabank;25-34;Medan;FALSE;33043;2;635698;completed;
250;1605;22/03/2025;9;29995;debit_card;18-24;Bandung;TRUE;55904;1;847784;completed;
251;193;23/01/2025;11;49995;debit_card;45+;Makassar;FALSE;27584;1;1962826;cancelled;payment
252;1086;14/02/2025;20;29995;debit_card;25-34;Jakarta;TRUE;189870;1;559946;completed;
253;2458;15/03/2025;2;29995;shopeepay;25-34;Medan;FALSE;105454;1;1115614;cancelled;payment
254;300;18/03/2025;3;29995;debit_card;18-24;Bandung;TRUE;150811;2;211101;completed;
255;454;11/02/2025;21;29995;seabank;45+;Medan;TRUE;89342;2;1716414;completed;
256;2622;11/02/2025;23;49995;debit_card;35-44;Makassar;TRUE;199387;1;1532742;completed;
257;619;29/01/2025;11;29995;shopeepay;35-44;Bandung;FALSE;8888;3;666839;completed;
258;637;16/01/2025;6;29995;debit_card;25-34;Makassar;FALSE;163696;3;859223;completed;
259;2349;08/03/2025;11;49995;shopeepay;25-34;Medan;FALSE;104997;3;1803702;cancelled;payment
260;779;01/03/2025;2;29995;seabank;35-44;Surabaya;FALSE;111910;2;1841287;completed;
261;1480;04/01/2025;17;29995;debit_card;25-34;Surabaya;FALSE;172407;1;739503;completed;
262;2250;16/01/2025;18;29995;shopeepay;18-24;Medan;FALSE;27272;1;504933;completed;
263;2722;10/02/2025;4;29995;shopeepay;35-44;Medan;FALSE;16575;2;1593381;completed;
264;2350;06/01/2025;13;29995;debit_card;18-24;Surabaya;FALSE;60611;1;1232726;completed;
265;2045;11/02/2025;22;29995;shopeepay;35-44;Surabaya;FALSE;22560;2;60372;completed;
266;1648;26/02/2025;7;49995;seabank;35-44;Jakarta;TRUE;138458;3;478487;completed;
267;337;28/01/2025;21;49995;shopeepay;35-44;Makassar;TRUE;42607;2;1487902;completed;
268;2080;23/01/2025;14;29995;shopeepay;35-44;Medan;FALSE;140893;1;494056;completed;
269;1995;17/03/2025;15;49995;shopeepay;35-44;Jakarta;TRUE;63797;3;143375;completed;
270;2008;11/02/2025;17;29995;shopeepay;35-44;Bandung;TRUE;4123;2;557866;completed;
271;1783;12/01/2025;10;29995;seabank;25-34;Surabaya;FALSE;17189;3;1244738;cancelled;payment
272;2821;30/03/2025;1;49995;shopeepay;45+;Bandung;TRUE;23397;2;623923;completed;
273;1072;05/03/2025;9;29995;debit_card;18-24;Surabaya;FALSE;58235;1;607827;completed;
274;2032;27/02/2025;10;29995;shopeepay;25-34;Medan;FALSE;181744;2;107326;completed;
275;1274;20/02/2025;4;49995;debit_card;18-24;Medan;TRUE;83482;1;1016942;completed;
276;1250;29/01/2025;20;29995;shopeepay;25-34;Makassar;FALSE;135168;3;1560056;completed;
277;1296;19/01/2025;16;29995;debit_card;18-24;Jakarta;FALSE;76815;2;742244;completed;
278;2713;27/03/2025;0;29995;shopeepay;25-34;Medan;FALSE;153325;1;1860775;completed;
279;328;29/03/2025;13;29995;shopeepay;25-34;Medan;FALSE;33717;2;656743;cancelled;payment
